ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
Add Mapping,3,pages.marketingIntel.mappingRegistry.addMapping,Add Mapping,Add Mapping,
No Mappings,3,pages.marketingIntel.mappingRegistry.noMappings,No Mappings,No Mappings,
Tab Category Map,3,pages.marketingIntel.mappingRegistry.tabCategoryMap,Tab Category Map,Tab Category Map,
Tab Channel Map,3,pages.marketingIntel.mappingRegistry.tabChannelMap,Tab Channel Map,Tab Channel Map,
Tab Product Map,3,pages.marketingIntel.mappingRegistry.tabProductMap,Tab Product Map,Tab Product Map,
20 KPI,3,pages.marketingIntel.marketingIntel.badge20kpi,20 KPI,Badge20kpi,
🎯 Trigger,3,pages.marketingIntel.trigger,🎯 Trigger,🎯 Trigger,
Deactivated,3,pages.marketingIntel.userMgmt.status_inactive,Deactivated,Inactive,
Approved At,3,pages.menu.approvals.approvedAt,Approved At,Approved At,
Budget Planner,3,pages.menu.budgetPlanner,Budget Planner,Budget Planner,
Content Calendar,3,pages.menu.contentCalendar,Content Calendar,Content Calendar,
💾 Save,3,ruleEnginePage.wms.carrSaveBtn,💾 Save,💾 Save,
Lead Time,3,ruleEnginePage.wms.supDrawerLeadTime,Lead Time,Lead Time,
Payment Terms,3,ruleEnginePage.wms.supDrawerPayTerms,Payment Terms,Payment Terms,
Expected Revenue,2,attr.expectedRev,Expected Revenue,Expected Revenue,
 items,2,attrData.cases, items, items,
Copy Link,2,audit.copyLink,Copy Link,Copy Link,
Select All,2,audit.selectAll,Select All,Select All,
Unity Catalog,2,catalogSync.ihub.dwFeatureUnity,,,
SmartConnect AI,2,catalogSync.ihub.scTitle,,,
Smart Connect,2,catalogSync.ihub.tabSmartConnect,,,
https://example.com/promo,2,catalogSync.webPopup.linkUrlPh,,,
Add Budget,2,crm.aiHub.addBudget,Add Budget,Add Budget,
Ad Saving,2,crm.aiHub.adSaving,Ad Saving,Ad Saving,
Approve All,2,crm.aiHub.aiHub.approveAll,Approve All,Approve All,
Attribution Link,2,crm.aiHub.aiHub.attributionLink,Attribution Link,Attribution Link,
Auto Registered,2,crm.aiHub.aiHub.autoRegistered,Auto Registered,Auto Registered,
Boost Reason,2,crm.aiHub.aiHub.boostReason,Boost Reason,Boost Reason,
Budget Shift,2,crm.aiHub.aiHub.budgetShift,Budget Shift,Budget Shift,
Bulk Approved,2,crm.aiHub.aiHub.bulkApproved,Bulk Approved,Bulk Approved,
Bulk Exec,2,crm.aiHub.aiHub.bulkExec,Bulk Exec,Bulk Exec,
Card Limit Alert,2,crm.aiHub.aiHub.cardLimitAlert,Card Limit Alert,Card Limit Alert,
Cards Unit,2,crm.aiHub.aiHub.cardsUnit,Cards Unit,Cards Unit,
Cat Budget Opt,2,crm.aiHub.aiHub.catBudgetOpt,Cat Budget Opt,Cat Budget Opt,
Cat Crm Retarget,2,crm.aiHub.aiHub.catCrmRetarget,Cat Crm Retarget,Cat Crm Retarget,
Cat Inventory Risk,2,crm.aiHub.aiHub.catInventoryRisk,Cat Inventory Risk,Cat Inventory Risk,
Cat Settlement,2,crm.aiHub.aiHub.catSettlement,Cat Settlement,Cat Settlement,
Check In Campaign Mgr,2,crm.aiHub.aiHub.checkInCampaignMgr,Check In Campaign Mgr,Check In Campaign Mgr,
Current Charged,2,crm.aiHub.aiHub.currentCharged,Current Charged,Current Charged,
Daily Sales,2,crm.aiHub.aiHub.dailySales,Daily Sales,Daily Sales,
Dp Add Budget,2,crm.aiHub.aiHub.dpAddBudget,Dp Add Budget,Dp Add Budget,
Dp Ad Roi,2,crm.aiHub.aiHub.dpAdRoi,Dp Ad Roi,Dp Ad Roi,
Dp Ad Saving,2,crm.aiHub.aiHub.dpAdSaving,Dp Ad Saving,Dp Ad Saving,
Dp Est Roas,2,crm.aiHub.aiHub.dpEstRoas,Dp Est Roas,Dp Est Roas,
Dp Expected Profit,2,crm.aiHub.aiHub.dpExpectedProfit,Dp Expected Profit,Dp Expected Profit,
Dp Expire In,2,crm.aiHub.aiHub.dpExpireIn,Dp Expire In,Dp Expire In,
Dp Settlement Margin,2,crm.aiHub.aiHub.dpSettlementMargin,Dp Settlement Margin,Dp Settlement Margin,
Dp Shift Budget,2,crm.aiHub.aiHub.dpShiftBudget,Dp Shift Budget,Dp Shift Budget,
Dp Vip Count,2,crm.aiHub.aiHub.dpVipCount,Dp Vip Count,Dp Vip Count,
Ds Active Rules,2,crm.aiHub.aiHub.dsActiveRules,Ds Active Rules,Ds Active Rules,
Ds Rules Fired,2,crm.aiHub.aiHub.dsRulesFired,Ds Rules Fired,Ds Rules Fired,
Est Roas,2,crm.aiHub.aiHub.estRoas,Est Roas,Est Roas,
Exec Budget,2,crm.aiHub.aiHub.execBudget,Exec Budget,Exec Budget,
Exec Log,2,crm.aiHub.aiHub.execLog,Exec Log,Exec Log,
Filter Executed,2,crm.aiHub.aiHub.filterExecuted,Filter Executed,Filter Executed,
In Days5,2,crm.aiHub.aiHub.inDays5,In Days5,In Days5,
Journey Automation,2,crm.aiHub.aiHub.journeyAutomation,Journey Automation,Journey Automation,
Journey Link,2,crm.aiHub.aiHub.journeyLink,Journey Link,Journey Link,
Need Card,2,crm.aiHub.aiHub.needCard,Need Card,Need Card,
No Card Alert,2,crm.aiHub.aiHub.noCardAlert,No Card Alert,No Card Alert,
Pending Campaigns,2,crm.aiHub.aiHub.pendingCampaigns,Pending Campaigns,Pending Campaigns,
Ready To Exec,2,crm.aiHub.aiHub.readyToExec,Ready To Exec,Ready To Exec,
Rec Boost Title,2,crm.aiHub.aiHub.recBoostTitle,Rec Boost Title,Rec Boost Title,
Rec Low Stock Title,2,crm.aiHub.aiHub.recLowStockTitle,Rec Low Stock Title,Rec Low Stock Title,
Rec Rebalance Title,2,crm.aiHub.aiHub.recRebalanceTitle,Rec Rebalance Title,Rec Rebalance Title,
Rec Vip Title,2,crm.aiHub.aiHub.recVipTitle,Rec Vip Title,Rec Vip Title,
Settlement Margin,2,crm.aiHub.aiHub.settlementMargin,Settlement Margin,Settlement Margin,
Times Unit,2,crm.aiHub.aiHub.timesUnit,Times Unit,Times Unit,
Total Exec Budget,2,crm.aiHub.aiHub.totalExecBudget,Total Exec Budget,Total Exec Budget,
View Campaigns,2,crm.aiHub.aiHub.viewCampaigns,View Campaigns,View Campaigns,
Vip Insight,2,crm.aiHub.aiHub.vipInsight,Vip Insight,Vip Insight,
Vip Reason,2,crm.aiHub.aiHub.vipReason,Vip Reason,Vip Reason,
Wasted Budget,2,crm.aiHub.aiHub.wastedBudget,Wasted Budget,Wasted Budget,
Demo Banner,2,crm.aiHub.aiPolicy.demoBanner,Demo Banner,Demo Banner,
Live Sync Status,2,crm.aiHub.aiPolicy.liveSyncStatus,Live Sync Status,Live Sync Status,
Guide Tabs Title,2,crm.aiHub.catalogSync.contentCal.guideTabsTitle,Guide Tabs Title,Guide Tabs Title,
Sec Lock,2,crm.aiHub.catalogSync.mr.secLockDesc,Sec Lock,Sec Lock,
Sec Lock Title,2,crm.aiHub.catalogSync.mr.secLockTitle,Sec Lock Title,Sec Lock Title,
Create Pixel,2,crm.aiHub.catalogSync.pxl.createPixel,Create Pixel,Create Pixel,
AI Creative,2,crm.aiHub.guideTabCreativeName,AI Creative,AI Creative,
Instagram DM,2,crm.aiHub.journey.nodeTypes.instagram,Instagram DM,Instagram DM,
Webhook URL,2,crm.aiHub.journey.webhookUrl,Webhook URL,Webhook URL,
Aria Label,2,crm.aiHub.mobileNav.ariaLabel,Aria Label,Aria Label,
🏪 Own Mall / Others,2,crm.aiHub.omniChannel.groupOwnMall,🏪 Own Mall / Others,🏪 Own Mall / Others,
Last Update,2,crm.aiHub.omniChannel.invLastUpdate,Last Update,Last Update,
Out of Stock,2,crm.aiHub.omniChannel.invOutOfStock,Out of Stock,Out of Stock,
Real-time Inventory,2,crm.aiHub.omniChannel.invTitle,Real-time Inventory,Real-time Inventory,
Total Products,2,crm.aiHub.omniChannel.invTotalProducts,Total Products,Total Products,
📥 Export,2,crm.aiHub.omniChannel.ordBtnExport,📥 Export,📥 Export,
Unified Order Management,2,crm.aiHub.omniChannel.ordTitle,Unified Order Management,Unified Order Management,
Avg Order Value,2,crm.aiHub.omniChannel.ovAvgOrderValue,Avg Order Value,Avg Order Value,
Revenue Share by Channel,2,crm.aiHub.omniChannel.ovChannelShare,Revenue Share by Channel,Revenue Share by Channel,
Revenue Trend by Channel,2,crm.aiHub.omniChannel.ovRevenueByChannel,Revenue Trend by Channel,Revenue Trend by Channel,
Avg Price,2,crm.aiHub.omniChannel.prodAvgPrice,Avg Price,Avg Price,
🔄 Sync All,2,crm.aiHub.omniChannel.prodBtnSync,🔄 Sync All,🔄 Sync All,
Channel Coverage,2,crm.aiHub.omniChannel.prodChannelCoverage,Channel Coverage,Channel Coverage,
Product Name,2,crm.aiHub.omniChannel.prodColName,Product Name,Product Name,
Sync Status,2,crm.aiHub.omniChannel.prodSyncStatus,Sync Status,Sync Status,
Unified Product Management,2,crm.aiHub.omniChannel.prodTitle,Unified Product Management,Unified Product Management,
Total SKUs,2,crm.aiHub.omniChannel.prodTotalSKU,Total SKUs,Total SKUs,
Copied to clipboard,2,crm.aiHub.reviews.copied,Copied to clipboard,Copied to clipboard,
Order ID,2,crm.aiHub.reviews.orderId,Order ID,Order ID,
https://example.com/landing-page,2,crm.aiHub.webPopup.linkUrlPh,https://example.com/landing-page,https://example.com/landing-page,
Product name,2,crm.email.catalogSync.colProductName,Product name,Product Name,
Sale Price,2,crm.email.catalogSync.colSalePrice,Sale Price,Sale Price,
Exchange Rate,2,crm.email.catalogSync.exchangeRate,Exchange Rate,Exchange Rate,
ROAS < 3.0x,2,crm.email.ds.ruleROAS3,ROAS < 3.0x,ROAS < 3.0x,
TikTok Ads Manager → Assets → Events → Web Events,2,crm.email.dt.tiktokStep1,TikTok Ads Manager → Assets → Events → Web Events,TikTok Ads Manager → Assets → Events → Web Events,
Days Left,2,daysLeft,,days left,
13 Alerts,2,marketing.g.sidebarAlertCount,13 Alerts,13 Alerts,
Exit  & Logout,2,marketing.g.sidebarLogout,Exit  & Logout,Exit  & Logout,
View Upgrade Plans,2,marketing.g.upgradalBtn,View Upgrade Plans,View Upgrade Plans,
Pro Plan Exclusive,2,marketing.g.upgradalTitle,Pro Plan Exclusive,Pro Plan Exclusive,
Plans & Pricing,2,marketing.gNav.app_pricing,Plans & Pricing,Plans & Pricing,
Data Schema,2,marketing.gNav.dataSchema,Data Schema,Data Schema,
Order Hub,2,marketing.gNav.orderHub,Order Hub,Order Hub,
Performance Hub,2,marketing.gNav.performanceHub,Performance Hub,Performance Hub,
Price Optimization,2,marketing.gNav.priceOpt,Price Optimization,Price Optimization,
WMS Inventory,2,marketing.gNav.wms,WMS Inventory,WMS Inventory,
SmartConnect (ERP·SCM),2,nav.pages.cmpRow.r17,,,
:{page} / {total},2,nav.pages.ui.pageOf,,,
Account Health,2,pages.amazonRisk.accountScore,Account Health,Account Health,
Average Rating,2,pages.amazonRisk.avgRating,Average Rating,Average Rating,
Buy Box Rate,2,pages.amazonRisk.buyBox,Buy Box Rate,Buy Box Rate,
FBA Stock Rate,2,pages.amazonRisk.fbaStockRate,FBA Stock Rate,FBA Stock Rate,
High Severity,2,pages.amazonRisk.highRisk,High Severity,High Risk,
Medium Risk,2,pages.amazonRisk.mediumRisk,Medium Risk,Medium Risk,
Risk Alerts,2,pages.amazonRisk.riskAlerts,Risk Alerts,Risk Alerts,
Home Dashboard,2,pages.cmpRow.r1,Home Dashboard,Home Dashboard,
Average Unit Price,2,pages.cmpVal.aiPredict.aiRec.avgPrice,Average Unit Price,Average Unit Price,
Catalog Auto-fill,2,pages.cmpVal.aiPredict.aiRec.catalogAuto,Catalog Auto-fill,Catalog Auto-fill,
Revenue Target,2,pages.cmpVal.aiPredict.aiRec.goalRevenue,Revenue Target,Revenue Target,
Main Sales Channels,2,pages.cmpVal.aiPredict.aiRec.mainChannels,Main Sales Channels,Main Sales Channels,
Monthly Sales Target,2,pages.cmpVal.aiPredict.aiRec.monthlyQty,Monthly Sales Target,Monthly Sales Target,
📦 Product Sales Info,2,pages.cmpVal.aiPredict.aiRec.salesInfo,📦 Product Sales Info,📦 Product Sales Info,
e.g. Beauty brand Instagram ad strategy or marketing goal,2,pages.cmpVal.aiPredict.aiRec.searchPh,e.g. Beauty brand Instagram ad strategy or marketing goal,e.g. Beauty brand Instagram ad strategy or marketing goal,
Product/SKU Count,2,pages.cmpVal.aiPredict.aiRec.skuCount,Product/SKU Count,Product/SKU Count,
Electronics,2,pages.cmpVal.aiPredict.cat.electronics,Electronics,Electronics,
🛒 Purchase Agent,2,pages.cmpVal.aiPredict.cat.purchasing,🛒 Purchase Agent,🛒 Purchase Agent,
Channel Intelligen,2,pages.cmpVal.aiPredict.kpi.k_9,Channel Intelligen,Channel Intelligen,
P&L Waterfall — 3-Domain Integrated,2,pages.cmpVal.aiPredict.kpi.p_11,P&L Waterfall — 3-Domain Integrated,P&L Waterfall — 3-Domain Integrated,
Ad Domain,2,pages.cmpVal.aiPredict.kpi.p_12,Ad Domain,Ad Domain,
Market Domain,2,pages.cmpVal.aiPredict.kpi.p_13,Market Domain,Market Domain,
By SKU,2,pages.cmpVal.aiPredict.kpi.p_15,By SKU,By SKU,
By Channel,2,pages.cmpVal.aiPredict.kpi.p_16,By Channel,By Channel,
By Campaign,2,pages.cmpVal.aiPredict.kpi.p_17,By Campaign,By Campaign,
By Creator,2,pages.cmpVal.aiPredict.kpi.p_18,By Creator,By Creator,
Forecast P&L Simulation,2,pages.cmpVal.aiPredict.kpi.p_19,Forecast P&L Simulation,Forecast P&L Simulation,
Parameter Settings,2,pages.cmpVal.aiPredict.kpi.p_20,Parameter Settings,Parameter Settings,
Forecast Annual Revenue,2,pages.cmpVal.aiPredict.kpi.p_21,Forecast Annual Revenue,Forecast Annual Revenue,
Forecast Net Profit,2,pages.cmpVal.aiPredict.kpi.p_22,Forecast Net Profit,Forecast Net Profit,
Influencer Cost,2,pages.cmpVal.aiPredict.kpi.p_4,Influencer Cost,Influencer Cost,
Net Settlement,2,pages.cmpVal.aiPredict.kpi.p_5,Net Settlement,Net Settlement,
Bday Desc,2,pages.cmpVal.aiPredict.kpi.tab.bdayDesc,Bday Desc,Bday Desc,
Churn Desc,2,pages.cmpVal.aiPredict.kpi.tab.churnDesc,Churn Desc,Churn Desc,
Vip Desc,2,pages.cmpVal.aiPredict.kpi.tab.vipDesc,Vip Desc,Vip Desc,
List View,2,pages.cmpVal.list_view,List View,List View,
Average Order Value,2,pages.dashboard.avgOrder,Average Order Value,Average Order Value,
Net R O A S,2,pages.dashboard.netROAS,Net R O A S,Net R O A S,
Ad Spend Rate,2,pages.krChannel.adSpendRate,Ad Spend Rate,Ad Spend Rate,
Api Disconnected,2,pages.krChannel.apiDisconnected,Api Disconnected,Api Disconnected,
Category All,2,pages.krChannel.categoryAll,Category All,Category All,
Channel Master,2,pages.krChannel.channelMaster,Channel Master,Channel Master,
Channel Select,2,pages.krChannel.channelSelect,Channel Select,Channel Select,
Commission History,2,pages.krChannel.commissionHistory,Commission History,Commission History,
Commission Reg,2,pages.krChannel.commissionReg,Commission Reg,Commission Reg,
Effective Date,2,pages.krChannel.effectiveDate,Effective Date,Effective Date,
Ingest Title,2,pages.krChannel.ingestTitle,Ingest Title,Ingest Title,
Load Sample,2,pages.krChannel.loadSample,Load Sample,Load Sample,
Missing Order,2,pages.krChannel.missingOrder,Missing Order,Missing Order,
Missing Settle,2,pages.krChannel.missingSettle,Missing Settle,Missing Settle,
Net Diff,2,pages.krChannel.netDiff,Net Diff,Net Diff,
No Data Hint,2,pages.krChannel.noDataHint,No Data Hint,No Data Hint,
Recon Run,2,pages.krChannel.reconRun,Recon Run,Recon Run,
Recon Start,2,pages.krChannel.reconStart,Recon Start,Recon Start,
Return Fee,2,pages.krChannel.returnFee,Return Fee,Return Fee,
Save Commission,2,pages.krChannel.saveCommission,Save Commission,Save Commission,
Select Channel Hint,2,pages.krChannel.selectChannelHint,Select Channel Hint,Select Channel Hint,
Settle Cycle,2,pages.krChannel.settleCycle,Settle Cycle,Settle Cycle,
Base Shipping Fee (₩),2,pages.krChannel.shippingFee,Base Shipping Fee (₩),Base Shipping Fee (₩),
Tab Fees,2,pages.krChannel.tabFees,Tab Fees,Tab Fees,
Tab Ingest,2,pages.krChannel.tabIngest,Tab Ingest,Tab Ingest,
Summary Score,2,pages.krChannel.tabSummary,Summary Score,Summary Score,
Total Commission,2,pages.krChannel.totalCommission,Total Commission,Total Commission,
Total Settlement,2,pages.krChannel.totalSettlement,Total Settlement,Total Settlement,
Vat Rate Label,2,pages.krChannel.vatRateLabel,Vat Rate Label,Vat Rate Label,
Age Distribution,2,pages.marketing.ageDist,Age Distribution,Age Distribution,
AI Communication,2,pages.marketing.aiMarketingHub,AI Communication,AI Communication,
Analytics Modules,2,pages.marketing.analyticsModules,Analytics Modules,Analytics Modules,
View Integration Guide,2,pages.marketing.ApiRegister,View Integration Guide,View Integration Guide,
Core KPIs by Channel,2,pages.marketing.channelDesc,Core KPIs by Channel,Core KPIs by Channel,
Channel Mix,2,pages.marketing.channelMix,Channel Mix,Channel Mix,
Ch Intel Desc1,2,pages.marketing.chIntelDesc1,Ch Intel Desc1,Ch Intel Desc1,
Ch Intel Desc2,2,pages.marketing.chIntelDesc2,Ch Intel Desc2,Ch Intel Desc2,
Ch Intel Desc3,2,pages.marketing.chIntelDesc3,Ch Intel Desc3,Ch Intel Desc3,
Ch Intel Desc4,2,pages.marketing.chIntelDesc4,Ch Intel Desc4,Ch Intel Desc4,
Channel Performance Dashboard,2,pages.marketing.chPerfDash,Channel Performance Dashboard,Channel Performance Dashboard,
Key KPI Trends by Media,2,pages.marketing.chTrendKpi,Key KPI Trends by Media,Key KPI Trends by Media,
Goal Achievement,2,pages.marketing.colAchieve,Goal Achievement,Goal Achievement,
Channel Name,2,pages.marketing.colChan,Channel Name,Channel Name,
Order · Inventory · Settlement Unified Status,2,pages.marketing.commerceDesc,Order · Inventory · Settlement Unified Status,Order · Inventory · Settlement Unified Status,
Conversion Funnel Analysis,2,pages.marketing.convFunnel,Conversion Funnel Analysis,Conversion Funnel Analysis,
Gender Distribution,2,pages.marketing.genderDist,Gender Distribution,Gender Distribution,
Influencer · UGC Performance Analysis,2,pages.marketing.influencerDesc,Influencer · UGC Performance Analysis,Influencer · UGC Performance Analysis,
KR Channel,2,pages.marketing.KRChannel,KR Channel,KR Channel,
Live Activity,2,pages.marketing.liveActivity,Live Activity,Live Activity,
🔒 Demo,2,pages.marketing.LockBadge,🔒 Demo,🔒 Demo,
Ad · Campaign Integrated Analysis,2,pages.marketing.marketingDesc,Ad · Campaign Integrated Analysis,Ad · Campaign Integrated Analysis,
Module Shortcuts,2,pages.marketing.moduleShortcuts,Module Shortcuts,Module Shortcuts,
Naver Search Ads,2,pages.marketing.naverName,Naver Search Ads,Naver Search Ads,
All platform KPIs at a glance,2,pages.marketing.overviewDesc,All platform KPIs at a glance,All platform KPIs at a glance,
Price Check,2,pages.marketing.PriceCheck,Price Check,Price Check,
Price Opt,2,pages.marketing.PriceOpt,Price Opt,Price Opt,
Check Pricing Plans,2,pages.marketing.PricingView,Check Pricing Plans,Check Pricing Plans,
Global Sales,2,pages.marketing.sales,Global Sales,Global Sales,
Revenue Status by Country/Region,2,pages.marketing.salesDesc,Revenue Status by Country/Region,Revenue Status by Country/Region,
This feature only fetches real data after paid plan integration. Current screen uses sample data.,2,pages.marketing.SampleDesc2,This feature only fetches real data after paid plan integration. Current screen uses sample data.,This feature only fetches real data after paid plan integration. Current screen uses sample data.,
Virtual data is being displayed.,2,pages.marketing.SampleDesc3,Virtual data is being displayed.,Virtual data is being displayed.,
We suggest customized options and quick actions for your role.,2,pages.marketing.selectRoleDesc,We suggest customized options and quick actions for your role.,We suggest customized options and quick actions for your role.,
Please select your role,2,pages.marketing.selectRoleTitle,Please select your role,Please select your role,
API · Pipeline · Server Status,2,pages.marketing.systemDesc,API · Pipeline · Server Status,API · Pipeline · Server Status,
Top Visited Regions,2,pages.marketing.topRegion,Top Visited Regions,Top Visited Regions,
Your account has a free coupon.,2,pages.marketing.upgradeBarCoupon,Your account has a free coupon.,Your account has a free coupon.,
Connect your API now and fully utilize the platform with your data.,2,pages.marketing.upgradeBarDesc,Connect your API now and fully utilize the platform with your data.,Connect your API now and fully utilize the platform with your data.,
Membership Coupon Application Guide,2,pages.marketing.upgradeBarMembership,Membership Coupon Application Guide,Membership Coupon Application Guide,
🎉 Connect real business data and try all features free for 7 days!,2,pages.marketing.upgradeBarTitle,🎉 Connect real business data and try all features free for 7 days!,🎉 Connect real business data and try all features free for 7 days!,
vs Yesterday,2,pages.marketing.vsYesterday,vs Yesterday,vs Yesterday,
Churn Action,2,pages.marketingIntel.aiPredict.kpi.churnAction,Churn Action,Churn Action,
Churn Risk Customer,2,pages.marketingIntel.aiPredict.kpi.churnRisk,Churn Risk Customer,Churn Risk Customer,
High Ltv,2,pages.marketingIntel.aiPredict.kpi.highLtv,High Ltv,High Ltv,
High Ltv Sub,2,pages.marketingIntel.aiPredict.kpi.highLtvSub,High Ltv Sub,High Ltv Sub,
Ml Accuracy,2,pages.marketingIntel.aiPredict.kpi.mlAccuracy,Ml Accuracy,Ml Accuracy,
Ml Sub,2,pages.marketingIntel.aiPredict.kpi.mlSub,Ml Sub,Ml Sub,
Revenue Sub,2,pages.marketingIntel.aiPredict.kpi.revenueSub,Revenue Sub,Revenue Sub,
Ai Suggestions,2,pages.marketingIntel.aiSuggestions,Ai Suggestions,Ai Suggestions,
Anomaly detected,2,pages.marketingIntel.anomalyDetected,Anomaly detected,Anomaly detected,
Audience Insights,2,pages.marketingIntel.audienceInsights,Audience Insights,Audience Insights,
Ad Channel Note,2,pages.marketingIntel.auth.adChannelNote,Ad Channel Note,Ad Channel Note,
Ad Channel Title,2,pages.marketingIntel.auth.adChannelTitle,Ad Channel Title,Ad Channel Title,
Address Detail Label,2,pages.marketingIntel.auth.addressDetailLabel,Address Detail Label,Address Detail Label,
Address Required,2,pages.marketingIntel.auth.addressRequired,Address Required,Address Required,
Admin Email Label,2,pages.marketingIntel.auth.adminEmailLabel,Admin Email Label,Admin Email Label,
Admin Key Label,2,pages.marketingIntel.auth.adminKeyLabel,Admin Key Label,Admin Key Label,
Admin Key Ph,2,pages.marketingIntel.auth.adminKeyPh,Admin Key Ph,Admin Key Ph,
Admin Login Btn,2,pages.marketingIntel.auth.adminLoginBtn,Admin Login Btn,Admin Login Btn,
Admin Login Desc,2,pages.marketingIntel.auth.adminLoginDesc,Admin Login Desc,Admin Login Desc,
Admin Login Title,2,pages.marketingIntel.auth.adminLoginTitle,Admin Login Title,Admin Login Title,
Agree All,2,pages.marketingIntel.auth.agreeAll,Agree All,Agree All,
Agree And,2,pages.marketingIntel.auth.agreeAnd,Agree And,Agree And,
I agree to,2,pages.marketingIntel.auth.agreeConsent,I agree to,I agree to,
Agree Marketing,2,pages.marketingIntel.auth.agreeMarketing,Agree Marketing,Agree Marketing,
Terms of Service,2,pages.marketingIntel.auth.agreeTerms,Terms of Service,Terms of Service,
Agree Terms Required,2,pages.marketingIntel.auth.agreeTermsRequired,Agree Terms Required,Agree Terms Required,
Already have an account?,2,pages.marketingIntel.auth.alreadyHaveAccount,Already have an account?,Already have an account?,
Business Number Hint,2,pages.marketingIntel.auth.businessNumberHint,Business Number Hint,Business Number Hint,
Business Number,2,pages.marketingIntel.auth.businessNumberLabel,Business Number,Business Number Label,
Business Number Required,2,pages.marketingIntel.auth.businessNumberRequired,Business Number Required,Business Number Required,
Business Type Required,2,pages.marketingIntel.auth.businessTypeRequired,Business Type Required,Business Type Required,
Business Warning,2,pages.marketingIntel.auth.businessWarning,Business Warning,Business Warning,
Ceo Name Label,2,pages.marketingIntel.auth.ceoNameLabel,Ceo Name Label,Ceo Name Label,
Ceo Required,2,pages.marketingIntel.auth.ceoRequired,Ceo Required,Ceo Required,
Company Label,2,pages.marketingIntel.auth.companyLabel,Company Label,Company Label,
Company Required,2,pages.marketingIntel.auth.companyRequired,Company Required,Company Required,
Completion Note,2,pages.marketingIntel.auth.completionNote,Completion Note,Completion Note,
Country Required,2,pages.marketingIntel.auth.countryRequired,Country Required,Country Required,
Email Required,2,pages.marketingIntel.auth.emailRequired,Email Required,Email Required,
Free Trial (Demo),2,pages.marketingIntel.auth.freePlan,Free Trial (Demo),Free Trial (Demo),
Simple sign up with email · name,2,pages.marketingIntel.auth.freePlanDesc,Simple sign up with email · name,Simple sign up with email · name,
✨ Free Sign Up,2,pages.marketingIntel.auth.freeRegister,✨ Free Sign Up,✨ Free Sign Up,
Easy start · Free trial of core features,2,pages.marketingIntel.auth.freeTrialDesc,Easy start · Free trial of core features,Easy start · Free trial of core features,
Free Trial (Demo) Registration,2,pages.marketingIntel.auth.freeTrialTitle,Free Trial (Demo) Registration,Free Trial (Demo) Registration,
Included Features,2,pages.marketingIntel.auth.includedFeatures,Included Features,Included Features,
Key Verified,2,pages.marketingIntel.auth.keyVerified,Key Verified,Key Verified,
Logging in...,2,pages.marketingIntel.auth.loggingIn,Logging in...,Logging in...,
🔐 Login,2,pages.marketingIntel.auth.loginBtn,🔐 Login,🔐 Login,
Monthly Revenue Label,2,pages.marketingIntel.auth.monthlyRevenueLabel,Monthly Revenue Label,Monthly Revenue Label,
Next Business,2,pages.marketingIntel.auth.nextBusiness,Next Business,Next Business,
Next Channels,2,pages.marketingIntel.auth.nextChannels,Next Channels,Next Channels,
Not Admin Account,2,pages.marketingIntel.auth.notAdminAccount,Not Admin Account,Not Admin Account,
Or login with account,2,pages.marketingIntel.auth.orLoginWith,Or login with account,Or login with account,
Paid Plan Sign Up,2,pages.marketingIntel.auth.paidPlan,Paid Plan Sign Up,Paid Plan Sign Up,
Paid Plan Desc,2,pages.marketingIntel.auth.paidPlanDesc,Paid Plan Desc,Paid Plan Desc,
Paid Plan Note,2,pages.marketingIntel.auth.paidPlanNote,Paid Plan Note,Paid Plan Note,
Paid Plan Title,2,pages.marketingIntel.auth.paidPlanTitle,Paid Plan Title,Paid Plan Title,
Confirm Password,2,pages.marketingIntel.auth.passwordConfirm,Confirm Password,Confirm Password,
Password (min 6 characters),2,pages.marketingIntel.auth.passwordHint,Password (min 6 characters),Password (min 6 characters),
Password Mismatch,2,pages.marketingIntel.auth.passwordMismatch,Password Mismatch,Password Mismatch,
Password Too Short,2,pages.marketingIntel.auth.passwordTooShort,Password Too Short,Password Too Short,
Phone Required,2,pages.marketingIntel.auth.phoneRequired,Phone Required,Phone Required,
Plan Note,2,pages.marketingIntel.auth.PlanNote,Plan Note,Plan Note,
Plan Question,2,pages.marketingIntel.auth.planQuestion,Plan Question,Plan Question,
Select Registration Type,2,pages.marketingIntel.auth.planTypeTitle,Select Registration Type,Select Registration Type,
Premium Only,2,pages.marketingIntel.auth.premiumOnly,Premium Only,Premium Only,
Price Not Set,2,pages.marketingIntel.auth.priceNotSet,Price Not Set,Price Not Set,
Processing Register,2,pages.marketingIntel.auth.processingRegister,Processing Register,Processing Register,
⚡ Quick Demo,2,pages.marketingIntel.auth.quickStart,⚡ Quick Demo,⚡ Quick Demo,
Recommended For,2,pages.marketingIntel.auth.recommendedFor,Recommended For,Recommended For,
Reenter Key,2,pages.marketingIntel.auth.reenterKey,Reenter Key,Reenter Key,
Sales Channel Note,2,pages.marketingIntel.auth.salesChannelNote,Sales Channel Note,Sales Channel Note,
Sales Channel Required,2,pages.marketingIntel.auth.salesChannelRequired,Sales Channel Required,Sales Channel Required,
Sales Channel Title,2,pages.marketingIntel.auth.salesChannelTitle,Sales Channel Title,Sales Channel Title,
🚀 Start Free,2,pages.marketingIntel.auth.startFree,🚀 Start Free,🚀 Start Free,
